localidad,latitud,longitud,altitud,codigo_nh,provincia
ROQUESAENZPENA-SMN,-26.820000000000000,-60.450000000000003,92,34,CHACO
ROSARIO-SMN,-32.920000000000002,-60.780000000000001,25,133,SANTA FE
SALTA-SMN,-24.850000000000001,-65.480000000000004,1221,12,SALTA
SANANTONIOOESTE-SMN,-40.729999999999997,-64.950000000000003,7,241,RIO NEGRO
SANCARLOS-SMN,-33.770000000000003,-69.030000000000001,940,143,MENDOZA
SANFERNANDO-SMN,-34.450000000000003,-58.579999999999998,3,553,BUENOS AIRES
SANJUAN-SMN,-31.570000000000000,-68.420000000000002,598,495,SAN JUAN
SANLUIS-SMN,-33.270000000000003,-66.349999999999994,713,139,SAN LUIS
SANMARTIN-SMN,-33.079999999999998,-68.420000000000002,653,370,MENDOZA
SANMIGUEL-SMN,-34.549999999999997,-58.729999999999997,26,154,BUENOS AIRES
SANRAFAEL-SMN,-34.579999999999998,-68.400000000000006,748,325,MENDOZA
SANTACRUZ-SMN,-50.020000000000003,-68.569999999999993,113,289,SANTA CRUZ
SANTAROSA-SMN,-36.570000000000000,-64.269999999999996,191,192,LA PAMPA
SANTAROSADECONLARA-SMN,-32.670000000000002,-65.319999999999993,620,572,SAN LUIS
SANTATERESITA-SMN,-36.549999999999997,-56.700000000000003,4,547,BUENOS AIRES
SANTIAGODELESTERO-SMN,-27.770000000000000,-64.299999999999997,199,62,SANTIAGO DEL ESTERO
SAUCEVIEJO-SMN,-31.699999999999999,-60.820000000000000,18,451,SANTA FE
TANDIL-SMN,-37.229999999999997,-59.250000000000000,175,311,BUENOS AIRES
TARTAGAL-SMN,-22.649999999999999,-63.820000000000000,450,326,SALTA
TINOGASTA-SMN,-28.070000000000000,-67.569999999999993,1201,65,CATAMARCA
TOLHUIN-SMN,-54.530000000000001,-67.219999999999999,105,558,"TIERRA DEL FUEGO, ANTÁRTIDA E*"
TRELEW-SMN,-43.200000000000003,-65.260000000000005,43,258,CHUBUT
TRENQUELAUQUEN-SMN,-35.969999999999999,-62.740000000000002,95,185,BUENOS AIRES
TRESARROYOS-SMN,-38.329999999999998,-60.250000000000000,115,490,BUENOS AIRES
TUCUMAN-SMN,-26.850000000000001,-65.099999999999994,450,17,TUCUMAN
USHUAIA-SMN,-54.799999999999997,-68.319999999999993,14,298,"TIERRA DEL FUEGO, ANTÁRTIDA E*"
USPALLATA-SMN,-32.600000000000001,-69.329999999999998,1891,308,MENDOZA
VENADOTUERTO-SMN,-33.750000000000000,-61.950000000000003,65,551,SANTA FE
VICTORICA-SMN,-36.219999999999999,-65.430000000000007,312,188,LA PAMPA
VIEDMA-SMN,-40.850000000000001,-63.020000000000003,7,501,RIO NEGRO
VILLADOLORES-SMN,-31.949999999999999,-65.129999999999995,569,117,CORDOBA
VILLAGESELL-SMN,-37.250000000000000,-57.000000000000000,8,13,BUENOS AIRES
VMARIADELRIOSECO-SMN,-29.899999999999999,-63.680000000000000,341,82,CORDOBA
VORTUZAR-SMN,-34.579999999999998,-58.479999999999997,25,156,CIUDAD AUTONOMA DE BUENOS AIRE
VILLAREYNOLDS-SMN,-33.729999999999997,-65.379999999999995,486,335,SAN LUIS
YACIRETA-SMN,-27.570000000000000,-56.680000000000000,72,522,CORRIENTES
MERCEDES-SMN,-29.230000000000000,-58.079999999999998,107,75,CORRIENTES
RAFAELA-SMN,-31.270000000000000,-61.500000000000000,99,573,SANTA FE
SUNCHALES-SMN,-30.969999999999999,-61.329999999999998,92,574,SANTA FE
